weighted_error, threshold, feature, weight_alpha
6.156648451730427629e-01,-8.443509999999999627e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.156648451730427629e-01,-8.443509999999999627e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.442650000000000432e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.441560000000000175e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.439259999999999540e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.439140000000000530e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.156648451730427629e-01,-8.436669999999999447e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.436069999999999958e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.434960000000000235e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.433519999999999905e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.432279999999999776e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.432250000000000023e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.431619999999999671e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.430990000000000428e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.429999999999999716e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.429999999999999716e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.428930000000000033e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.284153005464492292e-01,-8.428919999999999746e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.284153005464492292e-01,-8.428919999999999746e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.427689999999999904e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.427689999999999904e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.427660000000000151e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.427569999999999784e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.427569999999999784e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.426789999999999559e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.426369999999999694e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.426139999999999741e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.424810000000000354e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.423100000000000032e-01,-1.000000000000000000e+00,1.000000000000000000e+00
